#                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_19_length_101432_cov_42.268157_77 -            301 36169at72274         -            263  1.6e-149  494.8   0.5   1   1  3.5e-152  1.9e-149  494.6   0.5     1   263    12   296    12   296 0.96 # 79347 # 80249 # 1 # ID=19_77;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.632
NODE_9_length_148151_cov_43.734132_32  -            307 36169at72274         -            263   1.8e-69  232.4   0.2   1   1     4e-72   2.1e-69  232.2   0.2     1   263    10   303    10   303 0.86 # 22282 # 23202 # 1 # ID=9_32;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.545
NODE_19_length_101432_cov_42.268157_34 -            325 36169at72274         -            263   2.1e-58  196.1   0.8   1   1   2.5e-60   1.3e-57  193.5   0.8     1   263    12   313    12   313 0.80 # 31953 # 32927 # 1 # ID=19_34;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.609
NODE_5_length_205536_cov_43.475207_47  -            459 36169at72274         -            263   1.3e-50  170.6   0.0   1   1   9.5e-53   5.1e-50  168.6   0.0     1   260    13   311    13   313 0.79 # 43492 # 44868 # -1 # ID=5_47;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.647
NODE_38_length_63635_cov_41.113825_19  -            310 36169at72274         -            263   1.4e-41  141.0   0.0   1   1   3.4e-44   1.8e-41  140.6   0.0     1   258    15   305    15   307 0.81 # 23266 # 24195 # 1 # ID=38_19;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.612
NODE_39_length_62408_cov_42.438215_34  -            365 36169at72274         -            263   1.9e-22   78.3   0.0   1   2   5.6e-19     3e-16   58.0   0.0     5   177    31   211    29   220 0.82 # 34471 # 35565 # 1 # ID=39_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_39_length_62408_cov_42.438215_34  -            365 36169at72274         -            263   1.9e-22   78.3   0.0   2   2   7.3e-07   0.00039   18.2   0.1   184   260   236   324   230   326 0.71 # 34471 # 35565 # 1 # ID=39_34;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.617
NODE_5_length_205536_cov_43.475207_175 -            340 36169at72274         -            263   6.7e-16   56.8   0.0   1   1   1.9e-18     1e-15   56.2   0.0    13   202    49   238    39   254 0.84 # 160504 # 161523 # 1 # ID=5_175;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.633
NODE_1_length_352372_cov_43.300394_49  -            505 36169at72274         -            263   1.3e-14   52.5   0.0   1   1   3.7e-17     2e-14   52.0   0.0    13   188    36   210    20   239 0.87 # 49099 # 50613 # 1 # ID=1_49;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.638
NODE_46_length_54711_cov_41.720342_60  -            307 36169at72274         -            263   1.7e-08   32.6   0.0   1   2     2e-10   1.1e-07   29.9   0.0    13   187    20   192     6   222 0.84 # 52163 # 53083 # -1 # ID=46_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_46_length_54711_cov_41.720342_60  -            307 36169at72274         -            263   1.7e-08   32.6   0.0   2   2      0.15        82    0.8   0.0   129   175   211   258   180   283 0.69 # 52163 # 53083 # -1 # ID=46_60;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.632
NODE_121_length_2921_cov_39.749128_3   -            322 36169at72274         -            263   2.2e-07   28.9   0.0   1   1   5.8e-10   3.1e-07   28.4   0.0    13   186    38   209    30   236 0.83 # 1179 # 2144 # -1 # ID=121_3;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.640
NODE_85_length_17597_cov_41.988941_13  -            372 36169at72274         -            263     7e-06   24.0   0.0   1   1   2.1e-08   1.1e-05   23.3   0.0    36   111   181   256   153   267 0.84 # 12812 # 13927 # -1 # ID=85_13;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.612
NODE_6_length_186800_cov_43.969648_98  -            409 36169at72274         -            263   0.00056   17.7   0.1   1   2   1.2e-05    0.0062   14.3   0.2    14   100    83   170    78   192 0.81 # 106094 # 107320 # -1 # ID=6_98;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.630
NODE_6_length_186800_cov_43.969648_98  -            409 36169at72274         -            263   0.00056   17.7   0.1   2   2      0.13        72    1.0   0.0   159   260   287   395   274   398 0.65 # 106094 # 107320 # -1 # ID=6_98;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.630
#
# Program:         hmmsearch
# Version:         3.1b2 (February 2015)
# Pipeline mode:   SEARCH
# Query file:      /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/36169at72274.hmm
# Target file:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_def/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_def/run_pseudomonadales_odb10/hmmer_output/36169at72274.out --cpu 1 /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/busco_downloads/lineages/pseudomonadales_odb10/hmms/36169at72274.hmm /data2/PEG/hoaxaca/REAA/Pseudomonas/bin/../out/busco/trim_75clip.spades_def/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /data2/PEG/hoaxaca/REAA/Pseudomonas/bin
# Date:            Mon Feb 20 00:32:20 2023
# [ok]
